seogii@seogii-Samsung-DeskTop-System:~/source_git/CSAPI_SAMPLE/Tizen-CSharp-Samples/Mobile/Accounts$ ./check_style.sh SampleAccount
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:4: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:5: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:6: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:7: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:8: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:9: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:10: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:11: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:12: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:13: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:14: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:28: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:29: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:30: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:34: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:35: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:36: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:39: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:40: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:41: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:44: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:45: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:46: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:49: WARNING: [LNE_R_TWS]trailing whitespace
SampleAccount/SampleAccount/Views/AccountSignIn.xaml.cs:50: WARNING: [LNE_R_TWS]trailing whitespace
